gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01720	AT1G01720.1	1653.00	445.00	24.21
AT1G01725	AT1G01725.1	537.00	127.00	22.32
AT1G01730	AT1G01730.1	1197.00	413.00	31.30
AT1G01740	AT1G01740.1,AT1G01740.2,AT1G01740.3,AT1G01740.4,AT1G01740.5	1828.77	97.00	4.76
AT1G01750	AT1G01750.1,AT1G01750.2	853.22	16.00	1.72
AT1G01760	AT1G01760.1,AT1G01760.2,AT1G01760.3,AT1G01760.4	1321.52	43.91	3.01
AT1G01770	AT1G01770.1	2377.00	323.00	12.14
AT1G01780	AT1G01780.1	939.00	249.00	24.26
AT1G01790	AT1G01790.1,AT1G01790.2	4241.69	896.00	18.74
AT1G01800	AT1G01800.1,AT1G01800.2	1114.85	576.00	46.98
AT1G01810	AT1G01810.1	653.00	4.00	0.57
AT1G01820	AT1G01820.1	1262.00	1129.00	81.02
AT1G01830	AT1G01830.1,AT1G01830.2,AT1G01830.3	2320.42	509.00	19.60
AT1G01840	AT1G01840.1	822.00	46.00	5.15
AT1G01860	AT1G01860.1,AT1G01860.2,AT1G01860.3,AT1G01860.4,AT1G01860.5	1285.22	155.00	10.92
AT1G01880	AT1G01880.1,AT1G01880.2,AT1G01880.3,AT1G01880.4	1857.16	27.00	1.30
AT1G01900	AT1G01900.1	2607.00	59.00	2.02
AT1G01910	AT1G01910.1,AT1G01910.2,AT1G01910.3,AT1G01910.4,AT1G01910.5	1386.15	460.00	29.97
AT1G01920	AT1G01920.1,AT1G01920.2,AT1G01920.3,AT1G01920.4,AT1G01920.5	1936.90	323.00	14.95
AT1G01930	AT1G01930.1	2101.00	175.00	7.45
AT1G01940	AT1G01940.1	877.00	253.00	26.47
AT1G01950	AT1G01950.1,AT1G01950.2,AT1G01950.3,AT1G01950.4	2934.23	219.00	6.65
AT1G01960	AT1G01960.1	5825.00	1352.00	20.54
AT1G01970	AT1G01970.1	1710.00	284.00	14.92
AT1G01990	AT1G01990.1	1483.00	466.00	28.33
AT1G02000	AT1G02000.1	2088.00	115.00	4.93
AT1G02010	AT1G02010.1,AT1G02010.2,AT1G02010.3,AT1G02010.4,AT1G02010.5,AT1G02010.6	2186.21	153.00	6.26
AT1G02020	AT1G02020.1,AT1G02020.2,AT1G02020.3	2403.17	247.00	9.18
AT1G02030	AT1G02030.1	2135.00	9.00	0.38
AT1G02040	AT1G02040.1	1173.00	1.00	0.08
AT1G02050	AT1G02050.1	1540.00	194.00	11.35
AT1G02060	AT1G02060.1	2225.00	77.00	3.09
AT1G02065	AT1G02065.1,AT1G02065.2	1804.45	183.00	9.10
AT1G02067	AT1G02067.1	222.00	49.00	23.23
AT1G02070	AT1G02070.1	789.00	25.00	2.92
AT1G02080	AT1G02080.1,AT1G02080.2,AT1G02080.3	7477.78	1853.00	21.90
AT1G02090	AT1G02090.1,AT1G02090.2,AT1G02090.3	1270.04	324.00	23.10
AT1G02100	AT1G02100.1,AT1G02100.2,AT1G02100.3	1368.58	626.00	41.33
AT1G02110	AT1G02110.1	2314.00	437.00	16.87
AT1G02120	AT1G02120.1,AT1G02120.2,AT1G02120.3	2176.28	1313.00	53.96
AT1G02130	AT1G02130.1	1110.00	649.00	53.17
AT1G02140	AT1G02140.1	875.00	1100.00	115.37
AT1G02145	AT1G02145.1,AT1G02145.2,AT1G02145.3,AT1G02145.4	1667.94	291.00	15.69
AT1G02150	AT1G02150.1	1979.00	1326.00	60.03
AT1G02160	AT1G02160.1,AT1G02160.2	527.67	262.00	46.91
AT1G02170	AT1G02170.1	1451.00	540.00	33.57
AT1G02180	AT1G02180.1	922.00	65.00	6.46
AT1G02190	AT1G02190.1,AT1G02190.2	2195.00	132.00	5.38
AT1G02205	AT1G02205.1,AT1G02205.2,AT1G02205.3,AT1G02205.4,AT1G02205.5	2205.67	1069.00	43.34
AT1G02220	AT1G02220.1	1590.00	15.00	0.85
AT1G02230	AT1G02230.1	1436.00	6.00	0.38
AT1G02260	AT1G02260.1,AT1G02260.2	2488.13	373.00	13.38
AT1G02270	AT1G02270.1,AT1G02270.2	1737.00	326.00	16.86
AT1G02280	AT1G02280.1,AT1G02280.2	1204.62	750.00	56.46
AT1G02290	AT1G02290.1	1767.00	192.00	9.76
AT1G02300	AT1G02300.1	1464.00	533.54	32.87
AT1G02305	AT1G02305.1	1407.00	1719.46	110.34
AT1G02310	AT1G02310.1,AT1G02310.2	1390.00	11.00	0.71
AT1G02330	AT1G02330.1	1193.00	246.00	18.71
AT1G02335	AT1G02335.1	990.00	8.00	0.74
AT1G02340	AT1G02340.1,AT1G02340.2	1391.00	72.00	4.67
AT1G02350	AT1G02350.1	423.00	24.00	5.46
AT1G02360	AT1G02360.1,AT1G02360.2,AT1G02360.3	1118.00	25.00	2.03
AT1G02370	AT1G02370.1	1986.00	125.00	5.64
AT1G02380	AT1G02380.1	1317.00	48.00	3.30
AT1G02390	AT1G02390.1	2074.00	68.00	2.94
AT1G02400	AT1G02400.1,AT1G02400.2	1414.00	48.00	3.06
AT1G02405	AT1G02405.1	754.00	8.00	0.98
AT1G02410	AT1G02410.1,AT1G02410.2,AT1G02410.3	1280.16	253.00	17.89
AT1G02420	AT1G02420.1	1520.00	48.00	2.85
AT1G02430	AT1G02430.1,AT1G02430.2	968.00	26.31	2.48
AT1G02440	AT1G02440.1,AT1G02440.2	712.59	5.69	0.74
AT1G02450	AT1G02450.1	623.00	34.00	5.10
AT1G02460	AT1G02460.1	2079.00	31.00	1.33
AT1G02470	AT1G02470.1,AT1G02470.2	789.29	106.00	12.38
AT1G02475	AT1G02475.1	1091.00	615.00	51.29
AT1G02490	AT1G02490.1	298.00	5.00	1.68
AT1G02500	AT1G02500.1,AT1G02500.2	1551.53	7124.00	413.53
AT1G02510	AT1G02510.1	1086.00	3.00	0.25
AT1G02520	AT1G02520.1,AT1G02520.2,AT1G02520.3	4052.00	10.31	0.23
AT1G02530	AT1G02530.1,AT1G02530.2	4114.00	7.69	0.17
AT1G02560	AT1G02560.1	1479.00	4376.00	266.79
AT1G02610	AT1G02610.1,AT1G02610.2,AT1G02610.3	1035.01	346.00	30.47
AT1G02620	AT1G02620.1	1383.00	33.00	2.16
AT1G02630	AT1G02630.1,AT1G02630.2	1783.00	25.00	1.26
AT1G02640	AT1G02640.1	2773.00	295.00	9.48
AT1G02650	AT1G02650.1,AT1G02650.2	1824.00	2.00	0.10
AT1G02660	AT1G02660.1	2842.00	398.00	12.48
AT1G02670	AT1G02670.1,AT1G02670.2,AT1G02670.3,AT1G02670.4,AT1G02670.5,AT1G02670.6,AT1G02670.7	2311.00	21.00	0.81
AT1G02680	AT1G02680.1	907.00	260.00	26.27
AT1G02690	AT1G02690.1,AT1G02690.2	1979.11	149.00	6.75
AT1G02700	AT1G02700.1	1356.00	14.00	0.93
AT1G02705	AT1G02705.1	426.00	57.00	12.87
AT1G02710	AT1G02710.1	291.00	13.00	4.49
AT1G02720	AT1G02720.1,AT1G02720.2	1947.00	162.36	7.47
AT1G02730	AT1G02730.1	3925.00	722.00	16.33
AT1G02740	AT1G02740.1	1566.00	114.00	6.55
AT1G02750	AT1G02750.1,AT1G02750.2	1103.00	180.00	14.84
AT1G02770	AT1G02770.1	1233.00	8.00	0.59
AT1G02780	AT1G02780.1	1109.00	5894.00	483.30
AT1G02800	AT1G02800.1	1823.00	210.00	10.34
AT1G02810	AT1G02810.1	2132.00	16.00	0.67
AT1G02813	AT1G02813.1	652.00	26.00	3.71
AT1G02816	AT1G02816.1	1602.00	142.00	7.98
AT1G02820	AT1G02820.1	816.00	7.00	0.79
AT1G02840	AT1G02840.1,AT1G02840.2,AT1G02840.3,AT1G02840.4,AT1G02840.5	1533.05	1307.00	76.81
AT1G02850	AT1G02850.1,AT1G02850.2,AT1G02850.3,AT1G02850.4,AT1G02850.5	1929.45	458.00	21.28
AT1G02860	AT1G02860.1,AT1G02860.2,AT1G02860.3	1517.00	144.00	8.55
AT1G02870	AT1G02870.1	847.00	319.00	34.61
AT1G02880	AT1G02880.1,AT1G02880.2,AT1G02880.3,AT1G02880.4,AT1G02880.5,AT1G02880.6	1211.46	275.78	20.64
AT1G02890	AT1G02890.1,AT1G02890.2	4233.00	780.00	16.35
AT1G02900	AT1G02900.1	854.00	12.00	1.29
AT1G02910	AT1G02910.1,AT1G02910.2	1646.21	495.00	27.04
AT1G02920	AT1G02920.1	1213.00	675.73	50.51
AT1G02930	AT1G02930.1,AT1G02930.2	886.20	2103.27	217.69
AT1G02940	AT1G02940.1,AT1G02940.2,AT1G02940.3,AT1G02940.4	791.00	2.00	0.23
AT1G02950	AT1G02950.1,AT1G02950.2,AT1G02950.3,AT1G02950.4,AT1G02950.5	910.00	20.00	2.01
AT1G02960	AT1G02960.1,AT1G02960.2,AT1G02960.3,AT1G02960.4,AT1G02960.5,AT1G02960.6	1848.23	346.00	16.80
AT1G02965	AT1G02965.1	489.00	1.00	0.19
AT1G02970	AT1G02970.1	1897.00	36.00	1.70
AT1G02980	AT1G02980.1,AT1G02980.2	2444.00	6.00	0.22
AT1G02990	AT1G02990.1,AT1G02990.2,AT1G02990.3,AT1G02990.4,AT1G02990.5,AT1G02990.6	4386.74	230.00	4.65
AT1G03000	AT1G03000.1	3295.00	390.00	10.53
AT1G03010	AT1G03010.1,AT1G03010.2,AT1G03010.3	2195.00	37.00	1.51
AT1G03030	AT1G03030.1,AT1G03030.2	1480.89	175.00	10.66
AT1G03040	AT1G03040.1,AT1G03040.2,AT1G03040.3	1490.16	745.00	45.07
AT1G03055	AT1G03055.1,AT1G03055.2	1081.00	10.00	0.84
AT1G03060	AT1G03060.1,AT1G03060.2,AT1G03060.3,AT1G03060.4	11337.56	889.00	6.92
AT1G03070	AT1G03070.1,AT1G03070.2,AT1G03070.3	1132.00	5.00	0.40
AT1G03080	AT1G03080.1,AT1G03080.2,AT1G03080.3	5874.82	714.00	10.76
AT1G03090	AT1G03090.1,AT1G03090.2	2586.22	390.00	13.45
AT1G03100	AT1G03100.1	2595.00	89.00	3.06
AT1G03106	AT1G03106.1	934.00	2.00	0.20
AT1G03110	AT1G03110.1	1577.00	97.00	5.54
AT1G03120	AT1G03120.1,AT1G03120.2	629.00	6.00	0.89
AT1G03130	AT1G03130.1	956.00	6370.00	609.25
AT1G03140	AT1G03140.1	1553.00	509.00	29.52
AT1G03150	AT1G03150.1	809.00	223.00	25.39
AT1G03160	AT1G03160.1,AT1G03160.2,AT1G03160.3,AT1G03160.4	2872.62	651.00	20.19
AT1G03165	AT1G03165.1	228.00	1.00	0.46
AT1G03170	AT1G03170.1	2309.00	42.00	1.63
AT1G03180	AT1G03180.1,AT1G03180.2,AT1G03180.3,AT1G03180.4,AT1G03180.5,AT1G03180.6	1090.40	41.00	3.42
AT1G03190	AT1G03190.1,AT1G03190.2	2595.00	134.00	4.61
AT1G03200	AT1G03200.1	436.00	67.89	14.94
AT1G03210	AT1G03210.1,AT1G03210.2	1020.32	225.00	20.11
AT1G03220	AT1G03220.1	1891.00	234.15	11.10
AT1G03230	AT1G03230.1	1870.00	212.85	10.21
AT1G03240	AT1G03240.1	547.00	5.11	0.88
AT1G03250	AT1G03250.1,AT1G03250.2,AT1G03250.3,AT1G03250.4	1183.41	238.00	18.25
AT1G03260	AT1G03260.1	1443.00	138.00	8.63
AT1G03270	AT1G03270.1	1765.00	38.00	1.93
AT1G03280	AT1G03280.1,AT1G03280.2,AT1G03280.3	1977.27	324.00	14.68
AT1G03290	AT1G03290.1,AT1G03290.2,AT1G03290.3,AT1G03290.4,AT1G03290.5,AT1G03290.6	3009.14	685.99	20.29
AT1G03300	AT1G03300.1	2013.00	148.00	6.59
AT1G03310	AT1G03310.1,AT1G03310.2	3058.90	672.00	19.55
AT1G03320	AT1G03320.1	701.00	2.00	0.26
AT1G03330	AT1G03330.1	775.00	317.00	37.75
AT1G03340	AT1G03340.1	1507.00	52.00	3.11
AT1G03350	AT1G03350.1	1829.00	364.00	17.86
AT1G03360	AT1G03360.1	1325.00	87.00	5.94
AT1G03365	AT1G03365.1,AT1G03365.2	2914.14	252.00	7.70
AT1G03370	AT1G03370.1,AT1G03370.2	3942.60	536.00	12.07
AT1G03380	AT1G03380.1	4183.00	545.00	11.56
AT1G03390	AT1G03390.1	1386.00	11.00	0.72
AT1G03400	AT1G03400.1,AT1G03400.2	1390.24	450.00	29.23
AT1G03410	AT1G03410.1,AT1G03410.2	2652.00	704.00	23.67
AT1G03430	AT1G03430.1,AT1G03430.2	1241.67	315.00	22.99
AT1G03440	AT1G03440.1	2147.00	198.00	8.25
AT1G03457	AT1G03457.1,AT1G03457.2,AT1G03457.3	1644.23	92.00	5.03
AT1G03470	AT1G03470.1,AT1G03470.2,AT1G03470.3,AT1G03470.4	1250.47	64.00	4.64
AT1G03475	AT1G03475.1	1743.00	1953.00	100.65
AT1G03495	AT1G03495.1	1311.00	113.60	7.84
AT1G03510	AT1G03510.1	1470.00	25.00	1.53
AT1G03520	AT1G03520.1,AT1G03520.2	1677.53	185.99	9.97
AT1G03530	AT1G03530.1	2921.00	205.00	6.25
AT1G03540	AT1G03540.1	1929.00	22.00	1.02
AT1G03550	AT1G03550.1,AT1G03550.2,AT1G03550.3,AT1G03550.4,AT1G03550.5,AT1G03550.6,AT1G03550.7	1036.21	343.00	30.17
AT1G03560	AT1G03560.1	2338.00	105.00	4.01
AT1G03590	AT1G03590.1	2219.00	195.00	7.86
AT1G03600	AT1G03600.1	1315.00	1776.00	122.17
AT1G03610	AT1G03610.1,AT1G03610.2	1901.31	532.00	25.09
AT1G03620	AT1G03620.1,AT1G03620.10,AT1G03620.11,AT1G03620.12,AT1G03620.13,AT1G03620.2,AT1G03620.3,AT1G03620.4,AT1G03620.5,AT1G03620.6,AT1G03620.7,AT1G03620.8,AT1G03620.9	1454.28	123.00	7.63
AT1G03630	AT1G03630.1,AT1G03630.2	1408.71	1428.00	91.52
AT1G03650	AT1G03650.1	892.00	51.00	5.24
AT1G03660	AT1G03660.1,AT1G03660.2	1019.00	9.00	0.81
AT1G03680	AT1G03680.1	957.00	3262.00	311.65
AT1G03687	AT1G03687.1,AT1G03687.2	1449.80	182.00	11.33
AT1G03700	AT1G03700.1	837.00	2.00	0.22
AT1G03710	AT1G03710.1,AT1G03710.2	743.00	17.00	2.12
AT1G03720	AT1G03720.1,AT1G03720.2	825.00	1.00	0.11
AT1G03730	AT1G03730.1	1271.00	110.00	7.84
AT1G03740	AT1G03740.1,AT1G03740.2	3106.04	1015.00	29.08
AT1G03750	AT1G03750.1	2777.00	74.00	2.37
AT1G03760	AT1G03760.1	1382.00	207.00	13.53
AT1G03770	AT1G03770.1,AT1G03770.2,AT1G03770.3,AT1G03770.4,AT1G03770.5,AT1G03770.6	1625.36	78.99	4.37
AT1G03780	AT1G03780.1,AT1G03780.2,AT1G03780.3	2591.87	270.00	9.29
AT1G03800	AT1G03800.1	1280.00	3.00	0.21
AT1G03820	AT1G03820.1	1127.00	99.00	7.98
AT1G03830	AT1G03830.1,AT1G03830.2	3340.74	176.00	4.68
AT1G03840	AT1G03840.1,AT1G03840.2	1681.52	17.97	0.96
AT1G03850	AT1G03850.1,AT1G03850.2,AT1G03850.3	766.91	85.00	10.23
AT1G03860	AT1G03860.1,AT1G03860.2,AT1G03860.3	1392.75	752.00	48.76
AT1G03870	AT1G03870.1	1164.00	1026.00	80.03
AT1G03900	AT1G03900.1	1239.00	978.00	71.53
AT1G03905	AT1G03905.1,AT1G03905.2,AT1G03905.3,AT1G03905.4	1438.55	30.30	1.90
AT1G03910	AT1G03910.1,AT1G03910.2	2522.78	613.00	21.68
AT1G03920	AT1G03920.1,AT1G03920.2,AT1G03920.3	2103.00	19.00	0.81
AT1G03930	AT1G03930.1	2419.00	378.00	13.95
AT1G03940	AT1G03940.1	1918.00	196.40	9.18
AT1G03950	AT1G03950.1	1023.00	154.00	13.73
AT1G03960	AT1G03960.1,AT1G03960.2,AT1G03960.3,AT1G03960.4,AT1G03960.5,AT1G03960.6,AT1G03960.7	1984.54	301.00	13.59
AT1G03970	AT1G03970.1	1148.00	496.00	39.24
AT1G03980	AT1G03980.1,AT1G03980.2,AT1G03980.3,AT1G03980.4	1662.00	3.00	0.16
AT1G03990	AT1G03990.1	2384.00	42.00	1.57
AT1G04000	AT1G04000.1	1267.00	140.00	10.01
AT1G04010	AT1G04010.1	2669.00	242.00	8.08
AT1G04020	AT1G04020.1,AT1G04020.2	2470.05	96.00	3.47
AT1G04030	AT1G04030.1,AT1G04030.2	1854.00	263.00	12.73
AT1G04040	AT1G04040.1	1086.00	617.00	51.70
AT1G04050	AT1G04050.1,AT1G04050.2,AT1G04050.3	2517.82	79.00	2.80
AT1G04070	AT1G04070.1	690.00	95.00	12.78
AT1G04080	AT1G04080.1,AT1G04080.2,AT1G04080.3,AT1G04080.4,AT1G04080.5	2556.87	1496.00	52.20
AT1G04090	AT1G04090.1	2110.00	3.00	0.13
AT1G04100	AT1G04100.1	1308.00	21.00	1.45
AT1G04105	AT1G04105.1	402.00	13.00	3.13
AT1G04110	AT1G04110.1	2513.00	28.00	0.99
AT1G04120	AT1G04120.1,AT1G04120.2,AT1G04120.3	5298.50	1117.00	18.67
AT1G04130	AT1G04130.1,AT1G04130.2	1361.14	111.00	7.37
AT1G04140	AT1G04140.1,AT1G04140.2	3124.68	1267.00	36.08
AT1G04150	AT1G04150.1	3408.00	11.00	0.29
AT1G04160	AT1G04160.1,AT1G04160.2	5192.00	118.00	2.01
AT1G04170	AT1G04170.1,AT1G04170.2	1860.00	1052.00	50.74
AT1G04180	AT1G04180.1	1649.00	4.00	0.22
AT1G04190	AT1G04190.1	1418.00	332.00	21.13
AT1G04200	AT1G04200.1,AT1G04200.2,AT1G04200.3	2594.86	399.00	13.72
AT1G04210	AT1G04210.1	4016.00	557.00	12.31
AT1G04220	AT1G04220.1	2044.00	81.32	3.56
AT1G04230	AT1G04230.1,AT1G04230.2	1999.00	557.00	24.96
AT1G04240	AT1G04240.1,AT1G04240.2	1191.11	546.00	41.59
AT1G04250	AT1G04250.1	1317.00	15.00	1.03
AT1G04260	AT1G04260.1	1287.00	217.00	15.26
AT1G04270	AT1G04270.1,AT1G04270.2	877.07	2635.00	275.68
AT1G04280	AT1G04280.1,AT1G04280.2	2409.60	202.00	7.49
AT1G04290	AT1G04290.1,AT1G04290.2	921.06	149.00	14.81
AT1G04300	AT1G04300.1,AT1G04300.2,AT1G04300.3,AT1G04300.4,AT1G04300.5,AT1G04300.6	3076.12	1513.00	43.77
AT1G04310	AT1G04310.1,AT1G04310.2	2538.12	135.00	4.75
AT1G04330	AT1G04330.1	694.00	8.00	1.07
AT1G04340	AT1G04340.1	1044.00	246.00	21.47
AT1G04350	AT1G04350.1	2066.00	388.00	16.81
AT1G04360	AT1G04360.1	1747.00	9.00	0.46
AT1G04370	AT1G04370.1	736.00	1.00	0.13
AT1G04380	AT1G04380.1,AT1G04380.2	1528.00	4.00	0.24
AT1G04390	AT1G04390.1	3466.00	139.00	3.56
AT1G04400	AT1G04400.1,AT1G04400.2	2436.20	2691.99	98.66
AT1G04410	AT1G04410.1	1613.00	5380.00	300.12
AT1G04420	AT1G04420.1	1539.00	825.00	48.29
AT1G04430	AT1G04430.1,AT1G04430.2,AT1G04430.3	2544.27	1410.00	49.45
AT1G04440	AT1G04440.1	2407.00	851.99	31.61
AT1G04445	AT1G04445.1,AT1G04445.2	596.00	4.00	0.63
AT1G04455	AT1G04455.1	354.00	2.00	0.55
AT1G04480	AT1G04480.1	822.00	1168.00	130.77
AT1G04490	AT1G04490.1,AT1G04490.2,AT1G04490.3,AT1G04490.4,AT1G04490.5,AT1G04490.6,AT1G04490.7,AT1G04490.8,AT1G04490.9	1608.00	6.00	0.34
AT1G04500	AT1G04500.1,AT1G04500.2,AT1G04500.3,AT1G04500.4	1581.00	6.00	0.34
AT1G04510	AT1G04510.1,AT1G04510.2	2088.34	707.00	30.30
AT1G04520	AT1G04520.1	1569.00	160.99	9.24
AT1G04530	AT1G04530.1	1524.00	388.00	22.94
AT1G04540	AT1G04540.1	2446.00	49.00	1.79
AT1G04550	AT1G04550.1,AT1G04550.2	1357.08	151.00	10.06
AT1G04555	AT1G04555.1	991.00	72.00	6.63
AT1G04570	AT1G04570.1,AT1G04570.2	2162.67	17.00	0.70
AT1G04580	AT1G04580.1	4604.00	5.00	0.10
AT1G04590	AT1G04590.1,AT1G04590.2	1392.07	250.00	16.22
AT1G04600	AT1G04600.1	5766.00	61.00	0.94
AT1G04620	AT1G04620.1	2222.00	965.00	38.83
AT1G04630	AT1G04630.1	745.00	199.00	24.70
AT1G04635	AT1G04635.1	725.00	25.00	3.19
AT1G04640	AT1G04640.1,AT1G04640.2	1007.31	425.00	38.50
AT1G04645	AT1G04645.1	494.00	6.00	1.15
AT1G04650	AT1G04650.1,AT1G04650.2	2971.79	43.00	1.29
AT1G04660	AT1G04660.1	1406.00	69.00	4.43
AT1G04680	AT1G04680.1	2074.00	1037.00	44.76
AT1G04690	AT1G04690.1	1609.00	976.00	54.58
AT1G04700	AT1G04700.1,AT1G04700.2,AT1G04700.3	3819.00	22.00	0.51
AT1G04710	AT1G04710.1	1672.00	215.31	11.58
AT1G04730	AT1G04730.1,AT1G04730.2,AT1G04730.3,AT1G04730.4	2799.69	93.00	2.96
AT1G04750	AT1G04750.1,AT1G04750.2,AT1G04750.3,AT1G04750.4	1274.30	867.62	61.64
AT1G04760	AT1G04760.1,AT1G04760.2	1372.01	141.00	9.28
AT1G04770	AT1G04770.1	1284.00	261.00	18.40
AT1G04778	AT1G04778.1	848.00	3.00	0.33
AT1G04780	AT1G04780.1	3161.00	895.00	25.19
AT1G04790	AT1G04790.1	2751.00	458.00	14.84
AT1G04800	AT1G04800.1	1027.00	43.00	3.82
AT1G04810	AT1G04810.1	3435.00	678.01	17.55
AT1G04820	AT1G04820.1	1971.00	5049.01	229.53
AT1G04830	AT1G04830.1,AT1G04830.2,AT1G04830.3	1735.00	302.00	15.64
